customer_id,age,annual_income,credit_score,employment_status,loan_amount,loan_term_months,interest_rate,debt_to_income,state,application_date,default_flag
CUST_000001,52.0,30944.4,,,2913.34,48,6.85,0.094, TX,2023-10-18,0
CUST_000002,42.0,,763.0,student,19781.67,60,8.23,,OH,2024-07-09,0
CUST_000003,,89194.66,850.0,Student,2285.42,48,11.53,0.026, TX,2020-12-23,0
CUST_000004,67.0,35703.28,738.0,unemployed,12516.22,12,9.9,0.351,florida,2020-10-08,0
CUST_000005,200.0,25355.5,638.0,self-employed,20209.52,48,10.57,0.797,florida,2023-05-18,0
CUST_000006,41.0,18884.5,803.0,,13848.18,60,7.1,0.733,N/A,2022-12-17,0
CUST_000007,,20129.45,480.0,student,23885.02,84,4.43,1.187,TEXAS,2022-08-25,0
CUST_000008,56.0,,591.0,N/A,32330.46,60,9.28,,,2022-03-24,0
CUST_000009,200.0,9656.38,626.0,Part-time,41153.04,36,11.06,2.0,GA,2024-11-10,0
CUST_000010,53.0,36121.69,622.0,Student,16413.81,96,6.33,0.454,OH,2024-07-26,0
CUST_000011,38.0,,576.0,Employed ,6476.7,48,9.25,,N/A,2022-01-29,0
CUST_000012,38.0,23146.46,719.0,PART-TIME,14253.2,36,8.49,0.616,NC,2021-09-03,0
CUST_000013,48.0,35658.73,649.0,PART-TIME,9810.29,24,3.18,0.275,,2022-10-04,0
CUST_000014,18.0,46440.38,636.0,N/A,5121.75,36,7.99,0.11,,2020-06-14,0
CUST_000015,19.0,53506.08,790.0,EMPLOYED,15060.8,24,9.06,0.281,,2023-01-31,0
CUST_000016,36.0,30943.08,605.0,unemployed,458.31,96,7.01,0.015,IL,2021-09-26,1
CUST_000017,29.0,148528.83,752.0,Unemployed,18606.01,24,12.0,0.125, TX,2024-08-29,0
CUST_000018,49.0,,622.0,self-employed,34474.97,24,4.51,,GA,2021-10-05,1
CUST_000019,31.0,12537.51,624.0,Employed ,149599.22,12,15.38,2.0,MI,2023-07-01,0
CUST_000020,23.0,26677.68,573.0,retired,50938.81,72,8.49,1.909,MI,2024-05-14,0
CUST_000021,66.0,102591.9,504.0,Employed,1882.17,60,7.89,0.018,NC,2024-05-08,0
CUST_000022,41.0,96353.74,583.0,Retired,3544.99,24,11.43,0.037,PA,2022-02-11,0
CUST_000023,46.0,9174.5,472.0,,2984.96,72,3.71,0.325,FL,2021-01-25,1
CUST_000024,23.0,28620.52,675.0,unemployed,16344.82,48,15.79,0.571,N/A,2023-10-31,0
CUST_000025,36.0,23812.27,618.0,EMPLOYED,940.49,12,6.32,0.039,Unknown,2021-08-21,0
CUST_000026,46.0,67729.7,758.0,self-employed,55290.1,24,11.34,0.816,GA,2022-03-26,0
CUST_000027,27.0,14611.18,577.0,Part-time,1276.62,24,8.51,0.087,NY,2023-04-07,1
CUST_000028,50.0,126498.9,624.0,Retired,9926.97,60,5.24,0.078,california,2021-06-15,0
CUST_000029,35.0,11204.76,,EMPLOYED,44880.63,12,11.76,2.0,CA,2022-07-28,0
CUST_000030,40.0,32463.48,739.0,Employed ,59276.27,96,10.19,1.826,,2023-10-02,0
CUST_000031,35.0,13852.05,663.0,Unemployed,12520.64,12,18.26,0.904,TEXAS,2020-07-11,0
CUST_000032,72.0,61418.77,546.0,Employed ,13405.48,72,9.74,0.218,99,2022-04-24,0
CUST_000033,44.0,6998.74,708.0,Student,20221.76,1,6.47,2.0,ZZ,2021-10-12,0
CUST_000034,29.0,31662.17,621.0,,10472.77,48,2.56,0.331,N/A,2020-01-01,1
CUST_000035,57.0,31167.47,598.0,,7850.82,60,6.12,0.252,CA,2020-11-28,0
CUST_000036,26.0,17733.27,783.0,student,26897.45,96,9.32,1.517,OH,2020-02-23,0
CUST_000037,48.0,96268.41,796.0,part-time,18095.07,72,7.3,0.188,TX,2022-06-14,0
CUST_000038,18.0,141911.73,,employed,13142.91,36,10.94,0.093,Unknown,2023-04-16,0
CUST_000039,25.0,,821.0,student,2124.71,36,9.66,,99,2020-04-17,0
CUST_000040,47.0,40274.73,641.0,part-time,1426.95,48,4.51,0.035,florida,2022-12-31,0
CUST_000041,56.0,22162.87,728.0,PART-TIME,14300.3,72,7.19,0.645,,2023-04-27,0
CUST_000042,47.0,13221.08,,part-time,19321.79,84,5.73,1.461,CA ,2020-12-19,0
CUST_000043,43.0,14851.51,633.0,N/A,21430.36,60,9.6,1.443,99,2023-09-04,0
CUST_000044,40.0,15168.79,676.0,Employed ,45054.98,72,9.88,2.0,GA,2021-06-30,0
CUST_000045,22.0,98644.46,722.0,Unknown,33880.85,96,6.58,0.343,CA,2024-12-20,0
CUST_000046,34.0,51227.8,808.0,Employed ,3034.19,72,3.25,17.473,GA,2020-01-03,0
CUST_000047,,16941.33,,employed,31639.47,96,17.5,1.867,ZZ,2023-04-06,0
CUST_000048,60.0,18196.53,730.0,Employed,22558.96,48,9.53,1.24,N/A,2024-03-25,0
CUST_000049,50.0,16356.12,572.0,Retired,35208.58,60,9.52,2.0,TEXAS,2022-11-24,0
CUST_000050,200.0,8080.25,501.0,PART-TIME,37075.41,84,2.5,2.0,NC,2023-04-16,0
CUST_000051,49.0,55012.7,582.0,,8478.67,24,10.82,0.154,TX,2021-11-11,0
CUST_000052,39.0,32800.48,581.0,Unknown,6110.65,72,11.9,0.186,99,2022-10-09,0
CUST_000053,34.0,142601.82,747.0,unemployed,16087.57,12,9.58,0.113,Unknown,2021-05-06,0
CUST_000054,54.0,6858.05,642.0,,7093.76,24,8.93,1.034,IL,2022-07-29,0
CUST_000055,60.0,71579.87,588.0,Self-Employed,8605.98,96,8.94,0.12,PA,2021-07-07,0
CUST_000056,58.0,76846.21,561.0,Part-time,1433.36,24,5.66,0.019,PA,2023-07-17,1
CUST_000057,32.0,85365.21,608.0,Student,95035.68,24,6.27,1.113,IL,2023-06-05,0
CUST_000058,40.0,44201.59,741.0,employed,7400.91,48,7.76,0.167,OH,2024-11-16,0
CUST_000059,49.0,75977.44,560.0,N/A,30289.22,60,12.02,0.399,new york,2021-06-19,0
CUST_000060,59.0,46379.35,,PART-TIME,99694.37,24,9.36,2.0,california,2024-11-01,0
CUST_000061,37.0,19953.75,611.0,,69556.83,12,6.13,2.0,GA,2021-09-23,0
CUST_000062,,26344.91,685.0,,20096.05,24,6.43,0.763,PA,2023-07-12,0
CUST_000063,28.0,25788.19,834.0,Student,15472.46,36,1.58,0.6,FL,2022-07-29,1
CUST_000064,27.0,92138.02,584.0,Unemployed,7400.31,36,9.94,0.08,FL,2024-09-30,0
CUST_000065,57.0,101066.85,681.0,Retired,39538.67,48,7.83,0.391,FL,2023-09-05,0
CUST_000066,65.0,69677.78,648.0,unemployed,8249.65,72,9.1,0.118,TX,2021-03-01,0
